p_name,p_type,p_org,cf_id
Jonathan Ramsden,"EVP, Chief Financial and Administrative Officer","Big Lots, Inc. ",4393052
,,,
Spencer Hanus,guest participant,Wolfe Research,4393052
,,,
Joe Feldman,guest participant,Telsey Advisory Group,4393052
,,,
Peter Keith,guest participant,Piper Jaffray,4393052
,,,
Anthony Chukumba,guest participant,Loop Capital Markets,4393052
,,,
Chandni Luthra,guest participant,Goldman Sachs,4393052
,,,
Gaby Carbone,guest participant,Deutsche Bank,4393052
,,,
Renato Basanta,guest participant,Barclays ,4393052
,,,
Jason Haas,guest participant,Bank of America,4393052
,,,
Brad Thomas,guest participant,KeyBanc Capital Markets,4393052
,,,
Dave Slater,VP of FP&A & Investor Relations,Genesco Inc. ,4393040
,,,
Mimi Vaughn,President & Chief Executive Officer,Genesco Inc. ,4393040
,,,
Steve Marotta,guest participant,CL King,4393040
,,,
Janine Stichter,guest participant,Jefferies,4393040
,,,
Jonathan Komp,guest participant,Baird,4393040
,,,
Sam Poser,guest participant,Susquehanna,4393040
,,,
Mitch Kummetz,guest participant,Pivotal Research,4393040
,,,
Ken Dennard,Dennard Lascar Investor Relations,"MIND Technology, Inc. ",4393037
,,,
Rob Capps,Co-Chief Executive Officer and CFO,"MIND Technology, Inc. ",4393037
,,,
Guy Malden,"Co-Chief Executive Officer and Executive Vice President, Marine Systems","MIND Technology, Inc. ",4393037
,,,
Tyson Bauer,guest participant,KC Capital,4393037
,,,
Ross Taylor,guest participant,ARS,4393037
,,,
Paul Nester,President and Chief Executive Officer,"RGC Resources, Inc. ",4393034
,,,
Randy Burton,Chief Financial Officer,"RGC Resources, Inc. ",4393034
,,,
David Garcia,"Director, Financial Planning and Analysis","RGC Resources, Inc. ",4393034
,,,
Q,Unidentified Analyst,"RGC Resources, Inc. ",4393034
,,,
Rick Brooks,Chief Executive Officer,Zumiez Inc. ,4392970
,,,
Chris Work,Chief Financial Officer,Zumiez Inc. ,4392970
,,,
Janine Stichter,guest participant,Jefferies,4392970
,,,
Sharon Zackfia,guest participant,William Blair,4392970
,,,
Jeff Van Sinderen,guest participant,B. Riley,4392970
,,,
Jonathan Komp,guest participant,Baird,4392970
,,,
Mitch Kummetz,guest participant,Pivotal Research,4392970
,,,
Roxanne Oulman,Chief Financial Officer,"Medallia, Inc. ",4392969
,,,
Leslie Stretch,Chief Executive Officer,"Medallia, Inc. ",4392969
,,,
Brad Zelnick,guest participant,Credit Suisse,4392969
,,,
Phil Winslow,guest participant,Wells Fargo,4392969
,,,
Tom Roderick,guest participant,Stifel,4392969
,,,
Scott Berg,guest participant,Needham & Co,4392969
,,,
Rob Oliver,guest participant,Baird,4392969
,,,
Richard Baldry,guest participant,ROTH Capital,4392969
,,,
Brian Schwartz,guest participant,Oppenheimer & Co,4392969
,,,
Bhavan Suri,guest participant,William Blair,4392969
,,,
Drew Foster,guest participant,Citigroup,4392969
,,,
Terry Tillman,guest participant,Truist Securities,4392969
,,,
Matt VanVliet,guest participant,BTIG,4392969
,,,
Brett Knoblauch,guest participant,Berenberg Capital Markets,4392969
,,,
Rob Bearden,President and CEO,none,4392938
,,,
Jim Frankola,CFO,none,4392938
,,,
Arun Murthy,Chief Product Officer,none,4392938
,,,
Mick Hollison,Chief Marketing Officer,none,4392938
,,,
Kevin Cook,"VP Finance, Corporate Development and IR",none,4392938
,,,
Chad Bennett,guest participant,Craig-Hallum,4392938
,,,
Mark Murphy,guest participant,JPMorgan,4392938
,,,
Tyler Radke,guest participant,Citi,4392938
,,,
Khanh Ngo,guest participant,Needham & Company,4392938
,,,
Zane Chrane,guest participant,Bernstein Research,4392938
,,,
Pree Gadey,guest participant,Barclays,4392938
,,,
Mark Rende,guest participant,Morgan Stanley,4392938
,,,
Nehal Chokshi,guest participant,Northland Capital Markets,4392938
,,,
Brad Reback,guest participant,Stifel,4392938
,,,
Annie Leschin,Head of Investor Relations,"DocuSign, Inc. ",4392936
,,,
Dan Springer,Chief Executive Officer,"DocuSign, Inc. ",4392936
,,,
Cynthia Gaylor,Chief Financial Officer,"DocuSign, Inc. ",4392936
,,,
Sterling Auty,guest participant,JPMorgan,4392936
,,,
Stan Zlotsky,guest participant,Morgan Stanley,4392936
,,,
Bhavan Suri,guest participant,William Blair,4392936
,,,
Alex Zukin,guest participant,RBC,4392936
,,,
Karl Keirstead,guest participant,UBS,4392936
,,,
Patrick Walravens,guest participant,JMP Securities,4392936
,,,
Walter Pritchard,guest participant,Citi,4392936
,,,
Taylor McGinnis,guest participant,Deutsche Bank,4392936
,,,
Koji Ikeda,guest participant,Oppenheimer,4392936
,,,
Rishi Jaluria,guest participant,D.A. Davidson,4392936
,,,
Michael Turrin,guest participant,Wells Fargo Securities,4392936
,,,
Kirk Materne,guest participant,Evercore ISI,4392936
,,,
Willa McManmon,IR,"PagerDuty, Inc. ",4392935
,,,
